SMILES,logK
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.196
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.213
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.228
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.243
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.243
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.22
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.19
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.14
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.117
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.0005
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.0004
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.0012
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.0077
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.0161
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.0405
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.0649
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.0877
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.11
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.13
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.149
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.161
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.173
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.185
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.185
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.164
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.139
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.0002
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.001
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.0057
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.0134
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.035
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.0588
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.0818
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.104
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.125
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.145
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.158
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.17
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.182
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.182
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.167
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.108
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.0002
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.0007
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.0013
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.0059
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.0117
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.0261
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.0443
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.0577
